Gene;GDI;;;
CORO1C;3,359933381;;;
C1orf162;3,358515495;;;
IL3RA;3,355604635;;;
LDLRAP1;3,354981405;;;
RHOA;3,352777341;;;
FABP5;3,351364918;;;
RARRES3;3,349137633;;;
RPL8;3,34756068;;;
SNN;3,34528434;;;
RPL35;3,344602673;;;
PTPRE;3,344149344;;;
RIN3;3,34365705;;;
PHF19;3,343588686;;;
ZYX;3,342177539;;;
JUN;3,342073768;;;
CORO1B;3,340416092;;;
LILRA4;3,339867161;;;
PNOC;3,338578746;;;
ATP5B;3,334687076;;;
RPL28;3,33289914;;;
RPL12;3,33193185;;;
ITGAX;3,329524586;;;
SIGLEC9;3,328985773;;;
RBX1;3,328097604;;;
GAPDH;3,327374846;;;
SUPT4H1;3,326304931;;;
CLTA;3,326271218;;;
DAPP1;3,321988216;;;
MAP3K8;3,321345597;;;
SCPEP1;3,318030374;;;
LBH;3,318008506;;;
OSTF1;3,317782485;;;
SIGLEC7;3,317340992;;;
CENPW;3,315900839;;;
SAMD3;3,315340712;;;
RILPL2;3,314657157;;;
S100A12;3,31389545;;;
CAPNS1;3,312014148;;;
NGFRAP1;3,311804851;;;
RPS7;3,310725769;;;
NCF1;3,310179348;;;
AKR1C3;3,309476582;;;
CYSTM1;3,307668877;;;
RPS8;3,306880772;;;
NEURL1;3,305694137;;;
PRDX5;3,303769551;;;
GNG7;3,303562086;;;
RPL24;3,299388802;;;
EIF4A2;3,296708785;;;
DERL3;3,295974514;;;
BTF3;3,294704042;;;
RPL27A;3,293597835;;;
ATOX1;3,293403065;;;
BLK;3,291735807;;;
CD97;3,291382526;;;
TPM4;3,291078069;;;
CYC1;3,290269929;;;
NIPSNAP3A;3,289409952;;;
ARHGDIB;3,288826582;;;
CXXC5;3,288488164;;;
WDR83OS;3,287982982;;;
KCNK6;3,287304981;;;
GNGT2;3,285259179;;;
VAMP8;3,284468608;;;
UBE2J1;3,282075119;;;
ASGR2;3,280677724;;;
RNF135;3,279525647;;;
ILK;3,279115147;;;
CALM2;3,277354465;;;
PSMA7;3,276658965;;;
SH3BGRL;3,27654894;;;
LSMD1;3,276102197;;;
MYD88;3,275378665;;;
IGLL5;3,27340199;;;
CALHM2;3,272205765;;;
PSMB8;3,271938727;;;
TBCB;3,27008238;;;
EIF4A1;3,269109813;;;
PLEKHF1;3,267526463;;;
CDK2AP2;3,265247851;;;
CD40;3,264997077;;;
DDAH2;3,264680244;;;
SKAP2;3,264565997;;;
CD4;3,259970797;;;
VDAC1;3,256250526;;;
CD160;3,254747617;;;
LEPROTL1;3,248527046;;;
SLC1A5;3,247685026;;;
SCO2;3,246501228;;;
RPS10;3,244987191;;;
SLC15A3;3,241477212;;;
MYO1G;3,23925034;;;
OCIAD2;3,237147037;;;
EVL;3,234749826;;;
PPT1;3,234534892;;;
TAGLN2;3,234051968;;;
ARPC4;3,233913683;;;
RNPEP;3,233312743;;;
IL2RG;3,232015779;;;
LINC00861;3,231209067;;;
MAP2K3;3,231022467;;;
ARHGAP24;3,230732361;;;
C15orf39;3,230110701;;;
ATP5G3;3,228794774;;;
TXNDC17;3,227351476;;;
PTGDR;3,22652794;;;
TUBA1B;3,226468797;;;
CHCHD10;3,225234549;;;
MYL12A;3,22027973;;;
PLA2G16;3,220042387;;;
C20orf24;3,218962261;;;
TUBA1A;3,215940331;;;
EPHX2;3,214717383;;;
CYB5R3;3,213604886;;;
HIGD2A;3,209955839;;;
ITM2A;3,209011985;;;
PFDN5;3,208316512;;;
EIF3E;3,208043335;;;
RPS26;3,206902586;;;
WDFY4;3,206766774;;;
FAM49B;3,204308522;;;
MALAT1;3,202765874;;;
POLD4;3,202327653;;;
TCEB2;3,202080726;;;
AGPAT2;3,201957983;;;
PMAIP1;3,201844142;;;
SNX3;3,201814606;;;
ZEB2;3,201484867;;;
CHMP2A;3,198703786;;;
ADA;3,196244243;;;
PTGIR;3,195800891;;;
POU2AF1;3,195063259;;;
AHNAK;3,192984672;;;
CAPZA2;3,192277399;;;
POMP;3,191990942;;;
CD22;3,19186922;;;
RPL10;3,191600362;;;
RPL23;3,191026384;;;
SNHG7;3,190571005;;;
IDH2;3,189454912;;;
RGCC;3,18905442;;;
MARCH1;3,188409696;;;
TRABD2A;3,188084185;;;
HINT1;3,186933852;;;
NAMPT;3,185388481;;;
SPINT2;3,184255643;;;
B2M;3,184156277;;;
ACTG1;3,183208953;;;
UQCRC1;3,179316421;;;
GNAS;3,174794199;;;
TTYH3;3,171958879;;;
CD19;3,170057296;;;
C11orf21;3,16961605;;;
RP11-291B21,2;3,168801237;;;
GINS2;3,167829481;;;
PPP4C;3,167815086;;;
RPL7A;3,166292947;;;
LRRC26;3,165469558;;;
ARL11;3,164054275;;;
ARF5;3,161974673;;;
ZFAND5;3,161501181;;;
EEF1D;3,159485189;;;
GLIPR2;3,158715837;;;
RPL26;3,157958311;;;
YWHAE;3,156889797;;;
CD6;3,156290399;;;
NUCB2;3,15614708;;;
EIF6;3,155855683;;;
XCL2;3,153151681;;;
SELM;3,147918468;;;
GRB2;3,146938506;;;
PSMB2;3,146143548;;;
TRAF3IP3;3,144208182;;;
RRBP1;3,143253278;;;
ISG15;3,142299027;;;
ERCC1;3,142245033;;;
PRCP;3,142240625;;;
SEPT1;3,141602801;;;
RPL27;3,140975363;;;
RABGAP1L;3,140796475;;;
FBXO6;3,138586643;;;
MSN;3,137213954;;;
QPRT;3,136058278;;;
RRAS;3,134507975;;;
GLUL;3,133867479;;;
ACAA1;3,131623693;;;
PRDX1;3,130167275;;;
LRRFIP1;3,129464174;;;
PSMB10;3,128795114;;;
SEC14L1;3,128597415;;;
ARAP1;3,127965069;;;
PASK;3,126302946;;;
TOMM7;3,125233959;;;
GSTK1;3,12435931;;;
PPIF;3,118532697;;;
DECR1;3,116725501;;;
NDUFS6;3,116667928;;;
FGD2;3,116265358;;;
ATP5E;3,113492811;;;
ZGLP1;3,112878433;;;
STK17A;3,112568456;;;
TSPAN13;3,112511435;;;
SPOCK2;3,112201608;;;
C19orf10;3,11208032;;;
PLSCR1;3,108284348;;;
RPSAP58;3,106411328;;;
PSMB6;3,104635958;;;
BLNK;3,104499666;;;
GLA;3,101364479;;;
ZAP70;3,101170406;;;
ORAI3;3,1001548;;;
TAX1BP3;3,099704643;;;
COX5B;3,099539382;;;
RALB;3,098458134;;;
LY6E;3,096632337;;;
RTN4;3,096074185;;;
NADK;3,095570946;;;
TMIGD2;3,095531495;;;
SUSD3;3,094910225;;;
CRIP1;3,094592303;;;
MTCH2;3,093624737;;;
PEA15;3,092246699;;;
OXNAD1;3,089879875;;;
CBFA2T3;3,089869337;;;
CDKN2D;3,089611787;;;
SPN;3,089199985;;;
SLC27A3;3,089086763;;;
INSIG1;3,088921935;;;
KIAA0125;3,088686807;;;
PCBD1;3,088046154;;;
COX6B1;3,087829816;;;
FOSB;3,087467048;;;
DUSP23;3,087334213;;;
LMNA;3,085671756;;;
EIF3H;3,085310388;;;
CD53;3,083125725;;;
OAZ1;3,082891273;;;
NR4A1;3,080997933;;;
CTBP2;3,079876532;;;
NDUFB7;3,079834429;;;
XCL1;3,07927863;;;
CD37;3,079244564;;;
TPM3;3,076236232;;;
PRDX2;3,075390008;;;
PHPT1;3,074984871;;;
MT2A;3,074512699;;;
PDIA6;3,072706857;;;
SSR3;3,070301721;;;
NDUFB2;3,070076775;;;
IMPDH1;3,068786626;;;
STX10;3,068168059;;;
PDXK;3,068074955;;;
ACTN1;3,066970935;;;
FUOM;3,066792654;;;
NDUFA13;3,066572421;;;
DBI;3,066220158;;;
CALM1;3,065475807;;;
LAP3;3,062780262;;;
COX6A1;3,062236668;;;
MIS18BP1;3,060574575;;;
AIM2;3,059952;;;
YBX1;3,053976115;;;
NINJ1;3,05351254;;;
LAMTOR5;3,049677397;;;
CHMP4B;3,049367084;;;
SH3BP2;3,048003856;;;
FAIM3;3,047862424;;;
VPS29;3,04631023;;;
HM13;3,044934938;;;
TRAPPC1;3,044931694;;;
ETFA;3,044160348;;;
MTHFD2;3,042822846;;;
CECR1;3,0426209;;;
RIN1;3,04168343;;;
TMEM204;3,040727906;;;
NDRG2;3,039729525;;;
NDUFS7;3,038828663;;;
LAPTM4A;3,038262288;;;
LACTB;3,037050764;;;
LIMS1;3,036222756;;;
CMPK1;3,035925912;;;
HLA-DOA;3,035197915;;;
PHLDA2;3,035122008;;;
CAP1;3,034977028;;;
PGK1;3,034602913;;;
AMPD2;3,034191979;;;
RAB11FIP1;3,032073516;;;
PMVK;3,031846905;;;
CD58;3,030014258;;;
COPE;3,028221111;;;
ZFP36;3,027421947;;;
RP11-18H21,1;3,026067979;;;
RNF181;3,025826879;;;
PPA1;3,025231095;;;
CLU;3,024701782;;;
IRF7;3,023534612;;;
KIAA0513;3,022899594;;;
CYB561A3;3,022839239;;;
SLC25A6;3,020380597;;;
CD38;3,018831633;;;
ST13;3,01882262;;;
ESAM;3,018697393;;;
TMEM14C;3,017931729;;;
ATP2B1;3,017510353;;;
SWAP70;3,017263272;;;
RPS11;3,017083235;;;
EIF3L;3,014948615;;;
PPBP;3,013005319;;;
DAB2;3,011888386;;;
TLR10;3,011846331;;;
PTMS;3,011762075;;;
SERP1;3,010293395;;;
FIBP;3,010208655;;;
COQ2;3,009616777;;;
JUP;3,008226085;;;
SEC11A;3,00727575;;;
SRSF5;3,006332466;;;
TNFSF10;3,005196273;;;
HERPUD1;3,003445347;;;
CD180;3,000752475;;;
DNPH1;3,000366426;;;
C7orf50;2,999625472;;;
CYBRD1;2,997908282;;;
P2RX5;2,996275501;;;
TXN;2,995552589;;;
DBNL;2,995024149;;;
MIEN1;2,994717736;;;
LCP1;2,994547056;;;
TNFAIP8L2;2,994501199;;;
ANAPC11;2,993993751;;;
AGPAT9;2,993635955;;;
FAU;2,991379335;;;
SERPINB6;2,990758473;;;
SULT1A1;2,990482445;;;
SNX8;2,990276967;;;
SH3YL1;2,989170173;;;
RPLP1;2,989145989;;;
PGD;2,988499874;;;
YIF1B;2,987505296;;;
HSH2D;2,98715186;;;
